Produto,Categoria,Quantidade,Preco_Unitario,Total,Regiao,Data_Venda
Notebook Ultra 15,Informática,4,3526.45,14105.8,Nordeste,2025-02
Mouse Sem Fio,Acessórios,50,76.29,3814.5,Sudeste,2025-01
Teclado Mecânico RGB,Acessórios,5,144.24,721.2,Sudeste,2025-01
Monitor 24 Polegadas,Informática,35,2390.32,83661.2,Norte,2025-01
Fone Bluetooth,Áudio,48,278.89,13386.72,Norte,2025-04
Webcam Full HD,Acessórios,40,75.78,3031.2,Nordeste,2025-01
SSD 480GB,Armazenamento,13,237.29,3084.77,Centro-Oeste,2025-03
Carregador Turbo 65W,Acessórios,16,86.41,1382.56,Nordeste,2025-01
Cabo HDMI 2m,Cabos,9,19.17,172.53,Nordeste,2025-03
Hub USB-C 6 em 1,Acessórios,54,146.69,7921.26,Sudeste,2025-04
Caixa de Som Bluetooth,Áudio,27,269.13,7266.51,Sudeste,2025-03
Impressora Multifuncional,Informática,42,4039.39,169654.38,Nordeste,2025-02
Roteador Wi-Fi 6,Redes,5,467.06,2335.3,Sul,2025-03
Cadeira Gamer,Móveis,57,1189.66,67810.62,Sul,2025-01
Mousepad Grande,Acessórios,32,105.32,3370.24,Nordeste,2025-02
Headset Gamer,Áudio,16,204.37,3269.92,Nordeste,2025-01
Pendrive 64GB,Armazenamento,13,198.37,2578.81,Norte,2025-02
Suporte para Notebook,Acessórios,27,65.23,1761.21,Nordeste,2025-02
Microfone USB,Áudio,56,327,18312,Sudeste,2025-02
Placa de Vídeo Entry,Informática,54,4018.87,217018.98,Nordeste,2025-04
